name,symbol
Bitcoin (BTC),BTC/USDT
Bittensor (TAO),TAO/USDT
Solana (SOL),SOL/USDT
Sui (SUI),SUI/USDT
Sei (SEI),SEI/USDT
Dogecoin (DOGE),DOGE/USDT
Ethereum (ETH),ETH/USDT
Binance Coin (BNB),BNB/USDT
Toncoin (TON),TON/USDT
Worldcoin (WLD),WLD/USDT
Render (RENDER),RENDER/USDT
Injective (INJ),INJ/USDT
IO.NET (IO),IO/USDT
Bonk (BONK),BONK/USDT
Ethereum Name Service (ENS),ENS/USDT
Pepe (PEPE),PEPE/USDT
Jupiter (JUP),JUP/USDT
Raydium (RAY),RAY/USDT
Chainlink (LINK),LINK/USDT
Tron (TRX),TRX/USDT
Aave (AAVE),AAVE/USDT
Avalanche (AVAX),AVAX/USDT
Shiba Inu (SHIB),SHIB/USDT
Ethena (ENA),ENA/USDT
Dogwifhat (WIF),WIF/USDT
Arbitrum (ARB),ARB/USDT
Bitcoin Cash (BCH),BCH/USDT
Thorchain (RUNE),RUNE/USDT
Notcoin (NOT),NOT/USDT
Artificial Superintelligence Alliance (FET),FET/USDT
Aptos (APT),APT/USDT
Uniswap (UNI),UNI/USDT
Polkadot (DOT),DOT/USDT
Aevo (AEVO),AEVO/USDT
Optimism (OP),OP/USDT
Lido DAO (LDO),LDO/USDT
Celestia (TIA),TIA/USDT
Pendle (PENDLE),PENDLE/USDT
Stacks (STX),STX/USDT
Near Protocol (NEAR),NEAR/USDT
Movement (MOVE),MOVE/USDT
Manta (MANTA),MANTA/USDT
Pyth Network (PYTH),PYTH/USDT
Pudgy Penguins (PENGU),PENGU/USDT
Gala (GALA),GALA/USDT
Hedera Hashgpraph (HBAR),HBAR/USDT
aixbt by Virtuals (AIXBT),AIXBT/USDT
Act I: The AI Prophecy (ACT),ACT/USDT
